query,expected_response
"{""prompt"": ""How do I set up SSH key authentication for my DigitalOcean server using SnapShooter's backup system?""}","To set up SSH key authentication for your DigitalOcean server using SnapShooter's backup system, follow these steps:
1. From the SnapShooter app, go to the Servers section in the left menu and click ""Connect Server +""
2. Choose one of two methods:
   - Use our setup script method:
     * Select your preferred SSH key or generate a new one
     * Copy and paste the provided curl command into your server as root via SSH
     * The script will automatically install the SnapShooter public key

   - Manual setup method:
     * Generate an SSH key pair using `ssh-keygen`
     * Add the public key to ~/.ssh/authorized_keys on your DigitalOcean server
     * Enter server details (name, IP/host, username, port)
     * Test connection and add the server

3. Ensure your server meets these requirements:
   - Allow SnapShooter's IP addresses through any firewalls
   - Enable SSH remote root login if needed by editing /etc/ssh/sshd_config
   - Configure NAT gateway settings if applicable

4. After setup, you can proceed with configuring backup jobs for your DigitalOcean server.
Note: Make sure to keep your SSH key secure and never share it with unauthorized users.
"
"{""prompt"": ""How do I set up SSH key-based authentication for my new Droplet? What are the exact steps to generate and add the keys?""}","Here's how to set up SSH key-based authentication for your DigitalOcean Droplet:
1. Generate a new SSH key pair on your local machine: ```bash ssh-keygen -t rsa -b 4096 -C ""your_email@example.com"" ```
2. Add the public key to your DigitalOcean account:
   - Go to your DigitalOcean dashboard
   - Click on Access & Security > SSH Keys
   - Click ""Add SSH Key"" button
   - Paste your public key content (found in ~/.ssh/id_rsa.pub)
   - Give it a name and click ""Create""

3. Add the private key to your SSH agent: ```bash eval ""$(ssh-agent -s)"" ssh-add ~/.ssh/id_rsa ```
4. Test the connection: ```bash ssh root@your_droplet_ip ```
Important notes: - Make sure you have a non-root user set up on your Droplet for better security - You can add multiple keys if needed by repeating steps 2 and 3 - Always keep your private key secure and never share it"
"{""prompt"": ""What MFA methods are supported?""}","DigitalOcean supports the following Multi-Factor Authentication (MFA) methods: 1. Authenticator App: DigitalOcean supports authenticator apps such as Google Authenticator, Microsoft Authenticator, and Authy. 2. SMS: DigitalOcean supports SMS-based MFA, where a verification code is sent to your phone via SMS. 3. Backup Codes: DigitalOcean supports single-use codes that act as a second-password in case you lose your 2FA device."
"{""prompt"": ""How do I enable two-factor authentication on my DigitalOcean account?""}","To enable 2FA on your DigitalOcean account, access your account settings by clicking the profile icon in the top right of the control panel and selecting 'My Account'. In the 'Two-factor authentication' section select Authentication App or SMS as your default method.
For authentication apps, scan the provided QR code using your authenticator app to link your device to your DigitalOcean account. For SMS, ensure your mobile carrier can deliver text messages. You'll also need to choose a backup method.
We strongly recommend enabling 2FA on all DigitalOcean accounts as it adds an additional layer of security against unauthorized access. Learn more about [managing 2FA](https://docs.digitalocean.com/platform/accounts/2fa/).
"
"{""prompt"": ""What happens if I log in from a new device without 2FA enabled?""}","Even without 2FA enabled, DigitalOcean takes steps to protect your account. Each time you log in from a new location using a new device or a different web browser, we email an authorization code to the address linked to your account.
You need to check your email, retrieve the code, and enter it to complete your login. This means a bad actor would need both your DigitalOcean password and your email password to log in, which increases the difficulty for would-be attackers and provides you with notification if someone is trying to access your account.
However, we strongly recommend [enabling 2FA](https://docs.digitalocean.com/platform/accounts/2fa/) for stronger security.
"
"{""prompt"": ""How do I change my email address on my DigitalOcean account?""}","To change your email address, access your account settings by clicking the profile icon in the top right of the control panel. Navigate to the ""Email and password"" section.
After entering your new email address, we send a confirmation email to your new email address to finalize the change. The change does not take effect until you click the link in the confirmation email.
You can manage other account settings through your [Account Settings](https://docs.digitalocean.com/account/profile) page.
"
"{""prompt"": ""Can I switch between different SSO providers for my account?""}","Yes, you can switch between different login options including Google SSO and GitHub SSO. To switch to another account with the same provider, you need to switch to a different login option first and then switch back to select a different account.
You can manage your sign-in methods through your [account settings](https://cloud.digitalocean.com/account/profile). DigitalOcean supports Google SSO, GitHub SSO, as well as traditional email and password authentication.
"
"{""prompt"": ""How do I deactivate my DigitalOcean account?""}","To deactivate your account, you must first complete several prerequisites: delete or transfer ownership of any teams you own and resolve any outstanding bills.
Account deactivation stops billing and prohibits future resource creation. You can optionally purge your account data to permanently remove the account from DigitalOcean and prevent account reactivation.
Access the deactivation option through your [account settings](https://cloud.digitalocean.com/account/profile).
"
"{""prompt"": ""How do I log in if I lose my two-factor authentication device?""}","If you've successfully entered your username and password but don't have access to your 2FA device, you can log in using the backup method you chose when you set up 2FA, which is either backup codes or SMS.
# Recommendation * **Backup codes**: Locate the backup recovery codes text file, which by default is called `digitalocean_backupcodes.txt`. Use one of the codes by logging in to the [control panel](https://cloud.digitalocean.com/login) and clicking **Enter a recovery code** at the bottom of the **Two-factor authentication** screen. When you use the code, you cannot use it again, so you may want to mark it as used or delete it from the file.
* **SMS** Log in to the [control panel](https://cloud.digitalocean.com/login) and enter your account credentials. Click **Send an SMS instead** at the bottom of the **Two-factor authentication** screen. This sends an SMS with a verification code to the phone number you entered when you configured SMS as your backup method. Enter the verification code at the prompt, then click **Verify Code**.
After you log in, update your 2FA device or [disable 2FA](https://docs.digitalocean.com/products/accounts/security/2fa/#disabling-two-factor-authentication).
If you can't use your backup method to access your account, [open a support ticket](https://www.digitalocean.com/company/contact/support) using the email associated with your DigitalOcean account and explain that you need to reset your backup method. In this case, we require additional information to verify that you are the account owner, so be prepared with a photo of your government-issued ID (for example, a passport, driver's license, or military ID). The name on the ID in the photo must match the name for the account information that we have on file.
"
"{""prompt"": ""How do I open a support ticket when I can't log in?""}","If you can't sign in to open a ticket, send a support request through the [""Can't sign in?"" form](https://www.digitalocean.com/company/contact/support).
"
"{""prompt"": ""What do I do if my account was locked during sign-up?""}","If your account is locked during sign-up, [contact DigitalOcean support](https://cloudsupport.digitalocean.com) so we can authorize your access to your account.
"
"{""prompt"": ""Why do I have to keep entering a verification code when I log in?""}","DigitalOcean accounts with email and password sign-ins and no 2FA are protected with device verification by default. Each time you sign in from a new location using a new device or a different web browser, we email an authorization code to the email address you use to sign in or send an SMS to the phone number you provided.
You may be asked to verify your browser from a trusted location and device if you have deleted cookies for digitalocean.com or you have disabled cookies entirely. To allow your browser to be recognized, you can allowlist the verification domain, `siftscience.com`. or pause ad blocking on `*.digitalocean.com`.
"
"{""prompt"": ""I lost access to the GitHub account I use to sign into DigitalOcean""}","If you have lost access to your GitHub account, first try to restore access by following GitHub's account recovery process or 2FA credential recovery process:
* https://docs.github.com/en/free-pro-team@latest/github/authenticating-to-github/updating-your-github-access-credentials * https://docs.github.com/en/free-pro-team@latest/github/authenticating-to-github/recovering-your-account-if-you-lose-your-2fa-credentials
If you can't regain access to your GitHub account, [open a support ticket](https://www.digitalocean.com/company/contact/support) using the email associated with your DigitalOcean account and let us know you need to reset your authentication method. We may need additional information to verify that you are the account owner, so be prepared with a photo of your government-issued ID (for example, a passport, driver's license, or military ID). The name on ID in the photo must match the name for the account information that we have on file.
"
"{""prompt"": ""How do I enforce 2FA for all members of my team?""}","Require all team members to use a secure sign-in method through the team **Secure sign-in** setting. This requires team members to use Google, GitHub, or a DigitalOcean account with 2FA enabled. You can configure this setting in your team management area to ensure all members use secure authentication.
"
"{""prompt"": ""How do I lock down my account if I suspect a compromise?""}","Use a backup code to regain access if your 2FA device is compromised, or contact DigitalOcean support immediately. Change your password, rotate all API keys, and review recent account activity for unauthorized changes.
# Recommendation Keep a copy of your backup-code file `digitalocean_backupcodes.txt` securely stored in an encrypted password manager. After securing your account, audit each team member's sign-in method to ensure compliance.
"
"{""prompt"": ""How do I enable Two-Factor Authentication (2FA) on my account?""}","Enable 2FA from the **Two-factor authentication** section of your **My Account** page in the DigitalOcean control panel. Follow the setup process to configure your authenticator app and save your backup codes securely.
# Recommendation Keep a copy of your backup-code file `digitalocean_backupcodes.txt` securely stored in an encrypted password manager.
"
